ID;Name;Status;Qualitaet;Drucker;GCode-Datei;Filament-Typ;Erstellt am;Gestartet am;Beendet am;Druckdauer (Min);Materialkosten;Maschinenkosten;Personalkosten;Gesamtkosten
;Test-Auftrag-Unterteil;;;;222f8100a49c30f7_Test_Snapmaker.gcode;Purple;;;;;;;;
;Test 3;;;;f11385310d210f66_300x300_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-C9F8G7;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-Augen;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-E1A2B3;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-B3C2E4;;;;4f416865992ba50a_10x10x0.2_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-D4E5F6;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-Unterteil;;;;222f8100a49c30f7_Test_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-C9F8G7;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-Chromleisten;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-F6G7H8;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-Wuerfel;;;;222f8100a49c30f7_Test_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-E1A2B3;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;NX2/white ;;;;;;;;
;Test-Auftrag-B3C2E4;;;;58c695586684d8aa_3656ec78295aeef6_Charizard_Low_Poly_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-A8D3F1;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-Augen;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;NX2/white ;;;;;;;;
;Test-Auftrag-Unterteil;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;Purple;;;;;;;;
;Test-Auftrag-C9F8G7;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-D4E5F6;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-A8D3F1;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-Wuerfel;;;;222f8100a49c30f7_Test_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-Unterteil;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-Chromleisten;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-Chromleisten;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;Purple;;;;;;;;
;Test-Auftrag-E1A2B3;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-Augen;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-B3C2E4;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-F6G7H8;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-V3W4X5;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-A4B5C6;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-Z8A9B1;;;;222f8100a49c30f7_Test_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-Q2R3S4;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;Purple;;;;;;;;
;Test-Auftrag-K1L2M3;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-E9F1G2;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-U7V8W9;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-A8D3F1;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-B3C2E4;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-C9F8G7;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-D4E5F6;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-E1A2B3;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-F6G7H8;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-G2H3J4;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-H8J9K1;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-J4K5L6;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-K1L2M3;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-L7M8N9;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-M3N4P5;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;NX2/white ;;;;;;;;
;Test-Auftrag-N9P1Q2;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;Purple;;;;;;;;
;Test-Auftrag-P5Q6R7;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-Q2R3S4;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-R8S9T1;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-S4T5U6;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-T1U2V3;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-V3W4X5;;;;222f8100a49c30f7_Test_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-W9X1Y2;;;;ea56b0b28a5851f1_TestWurfel_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-X5Y6Z7;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-Y2Z3A4;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-A4B5C6;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-B1C2D3;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-C7D8E9;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-D3E4F5;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-F5G6H7;;;;3fb57d34a0061a62_e775df7da0329dbe_chrome-strips-parts_Snapmaker.gcode;NX2;;;;;;;;
;Test-Auftrag-G2H3J4;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-H8J9K1;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
;Test-Auftrag-J4K5L6;;;;7e6aa2b554fa10ff_bd3c2b382ddb0ef3_eyes-black_Snapmaker.gcode;PLA High Speed;;;;;;;;
;Test-Auftrag-L7M8N9;;;;cfc8c147a7153ad4_Unterteil_080925_Snapmaker.gcode;PolyLite PC Transparent;;;;;;;;
