
	WM	Auftrag	KundAuft	PSP-Elm.	Art	Material	Materialkurztext	Term.Start	Term. Ende	Eckstart	Eckende	Term.	Fehlt.	Fehlt.	Sollmenge	Gel.Menge	Einheit	Fert.hinw.	Langtext	Prio	Ausschuß	ReservNr

	@5B@	1270350			ZLAG	77206444	Führung Gr2 RayEX2 Luftführung mont.	19.08.2025	19.08.2025	18.08.2025	20.08.2025	@0A@			       3	       0	ST				      0	 1923745
	@5B@	1270347			ZLAG	77206399	Führung RayEX2 Luftführung Quelle mont.	20.08.2025	20.08.2025	19.08.2025	21.08.2025	@0A@			       3	       0	ST				      0	 1923730
	@5B@	1270351			ZLAG	77206444	Führung Gr2 RayEX2 Luftführung mont.	25.08.2025	25.08.2025	22.08.2025	26.08.2025	@0A@			       3	       0	ST				      0	 1923746
	@5B@	1270621			ZLAG	77206399	Führung RayEX2 Luftführung Quelle mont.	25.08.2025	25.08.2025	22.08.2025	26.08.2025	@0A@			       3	       0	ST				      0	 1923733
	@5B@	1270673			ZLAG	77206399	Führung RayEX2 Luftführung Quelle mont.	27.08.2025	27.08.2025	26.08.2025	28.08.2025	@0A@			       3	       0	ST				      0	 1923735
	@BZ@	1272155			ZLAG	77209788	Dichtung 225 P-Scan RG Flansch	11.09.2025	11.09.2025	10.09.2025	12.09.2025	@08@			       2	       0	ST				      0	 1933849
	@5B@	1272180			ZLAG	77188255	Adapter Prot. Taupunktsensor	12.09.2025	12.09.2025	11.09.2025	15.09.2025	@08@			       1	       0	ST				      0	 1933911
		270350			ZLAG	77206444	Führung Gr2 RayEX2 Luftführung mont.	19.08.2025	19.08.2025	18.08.2025	20.08.2025	@0A@				3	0	ST			0	0	1923745
	5B@	1270347			ZLAG	77206399	Führung RayEX2 Luftführung Quelle mont.	20.08.2025	20.08.2025	19.08.2025	21.08.2025	@0A@				3	0	ST			0	0	1923730
	5B@	1270351			ZLAG	77206444	Führung Gr2 RayEX2 Luftführung mont.	25.08.2025	25.08.2025	22.08.2025	26.08.2025	@0A@				3	0	ST			0	0	1923746
	5B@	1270621			ZLAG	77206399	Führung RayEX2 Luftführung Quelle mont.	25.08.2025	25.08.2025	22.08.2025	26.08.2025	@0A@				3	0	ST			0	0	1923733
	5B@	1270673			ZLAG	77206399	Führung RayEX2 Luftführung Quelle mont.	27.08.2025	27.08.2025	26.08.2025	28.08.2025	@0A@				3	0	ST			0	0	1923735
	BZ@	1272155			ZLAG	77209788	Dichtung 225 P-Scan RG Flansch	11.09.2025	11.09.2025	10.09.2025	12.09.2025	@08@				2	0	ST			0	0	1933849
	5B@	1272180			ZLAG	77188255	Adapter Prot. Taupunktsensor	12.09.2025	12.09.2025	11.09.2025	15.09.2025	@08@				1	0	ST			0	0	1933911
	5B@	1272181			ZLAG	77210019	Führung Gr2 RayEX2 Luftführung mont.	15.09.2025	15.09.2025	14.09.2025	17.09.2025	@0A@				3	0	ST			0	0	1933912
	BZ@	1272182			ZLAG	77210020	Dichtung 225 P-Scan RG Flansch	20.09.2025	20.09.2025	19.09.2025	22.09.2025	@08@				2	0	ST			0	0	1933913
	5B@	1272183			ZLAG	77188256	Adapter Prot. Taupunktsensor	25.09.2025	25.09.2025	24.09.2025	27.09.2025	@08@				1	0	ST			0	0	1933914
	5B@	1272185			ZLAG	77210021	Führung RayEX2 Luftführung Quelle mont.	05.10.2025	05.10.2025	04.10.2025	07.10.2025	@0A@				3	0	ST			0	0	1933916
	BZ@	1272186			ZLAG	77210022	Dichtung 225 P-Scan RG Flansch	10.10.2025	10.10.2025	09.10.2025	12.10.2025	@08@				2	0	ST			0	0	1933917
	5B@	1272187			ZLAG	77188257	Adapter Prot. Taupunktsensor	15.10.2025	15.10.2025	14.10.2025	17.10.2025	@08@				1	0	ST			0	0	1933918
	5B@	1272189			ZLAG	77210023	Führung Gr2 RayEX2 Luftführung mont.	25.10.2025	25.10.2025	24.10.2025	27.10.2025	@0A@				3	0	ST			0	0	1933920
	BZ@	1272190			ZLAG	77210024	Dichtung 225 P-Scan RG Flansch	30.10.2025	30.10.2025	29.10.2025	01.11.2025	@08@				2	0	ST			0	0	1933921
	5B@	1272191			ZLAG	77188258	Adapter Prot. Taupunktsensor	05.11.2025	05.11.2025	04.11.2025	07.11.2025	@08@				1	0	ST			0	0	1933922
	5B@	1272193			ZLAG	77210025	Führung RayEX2 Luftführung Quelle mont.	15.11.2025	15.11.2025	14.11.2025	17.11.2025	@0A@				3	0	ST			0	0	1933924
	BZ@	1272194			ZLAG	77210026	Dichtung 225 P-Scan RG Flansch	20.11.2025	20.11.2025	19.11.2025	22.11.2025	@08@				2	0	ST			0	0	1933925
	5B@	1272195			ZLAG	77188259	Adapter Prot. Taupunktsensor	25.11.2025	25.11.2025	24.11.2025	27.11.2025	@08@				1	0	ST			0	0	1933926
	5B@	1272197			ZLAG	77210027	Führung Gr2 RayEX2 Luftführung mont.	05.12.2025	05.12.2025	04.12.2025	07.12.2025	@0A@				3	0	ST			0	0	1933928
	BZ@	1272198			ZLAG	77210028	Dichtung 225 P-Scan RG Flansch	10.12.2025	10.12.2025	09.12.2025	12.12.2025	@08@				2	0	ST			0	0	1933929
	5B@	1272199			ZLAG	77188260	Adapter Prot. Taupunktsensor	15.12.2025	15.12.2025	14.12.2025	17.12.2025	@08@				1	0	ST			0	0	1933930
	5B@	1272201			ZLAG	77210029	Führung RayEX2 Luftführung Quelle mont.	25.12.2025	25.12.2025	24.12.2025	27.12.2025	@0A@				3	0	ST			0	0	1933932
